TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7471979587364204 VAR: 0.00042197035270803555 F1: 0.745334385702423 SEED: 21054
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7577408346639116 VAR: 0.0002729222515914563 F1: 0.7563653605618327 SEED: 21054
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7458908612754767 VAR: 0.0009697270213504466 F1: 0.744905900572821 SEED: 21054
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7478593343977961 VAR: 0.0007870845129685349 F1: 0.7460275144601969 SEED: 21054
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.732682915375223 VAR: 0.0009733650886630056 F1: 0.7296986695561825 SEED: 21054
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7445876772799849 VAR: 0.0003363849057110432 F1: 0.7432488912634188 SEED: 21054
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7307340095801635 VAR: 0.0003717726017615475 F1: 0.7281502663771905 SEED: 509
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7472018722018722 VAR: 0.00048401074436457036 F1: 0.7452681133713006 SEED: 509
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7399384803230957 VAR: 0.000889407526163276 F1: 0.7373582817771346 SEED: 509
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7393005854544316 VAR: 0.0004376161280838897 F1: 0.7378872096204583 SEED: 509
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7412690585767508 VAR: 0.0012020978388054223 F1: 0.7379164049397171 SEED: 509
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7544417832879371 VAR: 0.00042180972676622114 F1: 0.7527551960080939 SEED: 509
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7267735825428132 VAR: 0.000816121051928418 F1: 0.7245903563941684 SEED: 11053
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7498473748473748 VAR: 0.00014001693510547533 F1: 0.7480040237248542 SEED: 11053
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7406585579662504 VAR: 0.000890123114121448 F1: 0.7384923486151583 SEED: 11053
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7366511693434771 VAR: 0.00021305836595083828 F1: 0.7348719387302051 SEED: 11053
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.736655082808929 VAR: 0.0009653337303114656 F1: 0.7337422605259147 SEED: 11053
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7432610124917817 VAR: 0.0001664576375491693 F1: 0.7414216211921062 SEED: 11053
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7353636392097931 VAR: 0.0006165792487116895 F1: 0.7333312895502273 SEED: 17575
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7425878964340504 VAR: 0.0005015962525812421 F1: 0.7403911068528221 SEED: 17575
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7432297047681663 VAR: 0.0007509745515274943 F1: 0.7412172326422719 SEED: 17575
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.74195782849629 VAR: 0.0004643945922095771 F1: 0.7399348769749308 SEED: 17575
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7307379230456154 VAR: 0.0005258228348487308 F1: 0.7292562310471082 SEED: 17575
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7386235559312482 VAR: 0.0005672154110500769 F1: 0.7377363993347293 SEED: 17575
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7359702263548417 VAR: 0.0010594629826482784 F1: 0.7339545024632242 SEED: 19745
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7425918098995022 VAR: 0.0005791410602083162 F1: 0.7399737632403798 SEED: 19745
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7373125450048525 VAR: 0.0002573709404422518 F1: 0.7347126331431115 SEED: 19745
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7406194233117309 VAR: 0.0005266626904358008 F1: 0.7380542574155695 SEED: 19745
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7379856610625841 VAR: 0.00045720844976925224 F1: 0.7352253860043814 SEED: 19745
